time peak_frequency snr channel
1262736313.15625 26.32801055908203 9.01321029663086 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262736710.875 10.9096097946167 11.066129684448242 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262736717.390625 12.43904972076416 8.081210136413574 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737059.0625 39.42533874511719 8.391579627990723 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737130.40625 30.492019653320312 9.719120025634766 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737288.4375 39.42533874511719 10.117560386657715 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737399.984375 28.7727108001709 8.48447036743164 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737467.15625 10.42986011505127 8.735150337219238 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737661.625 10.9096097946167 10.482370376586914 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737680.34375 11.674690246582031 8.393799781799316 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737734.40625 26.32801055908203 8.578590393066406 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262737948.375 12.031539916992188 11.598520278930664 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262738019.375 16.73784065246582 8.185870170593262 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262738074.054687 26.501590728759766 8.727450370788574 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262738193.125 12.031539916992188 9.15587043762207 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262738294.40625 63.75307083129883 12.426400184631348 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262746983.828125 40.353519439697266 8.398309707641602 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262748519.8125 39.42533874511719 8.002750396728516 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262748949.4375 34.06044006347656 8.784839630126953 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262749251.78125 32.021541595458984 8.255860328674316 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262749573.146972 424.3420104980469 50.263790130615234 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262749580.391601 384.7861022949219 29.659900665283203 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262749929.1875 38.61006164550781 9.572480201721191 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750024.6875 29.425579071044922 8.253479957580566 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750132.90625 27.64866065979004 8.856860160827637 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750147.5625 39.42533874511719 8.383170127868652 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750367.046875 16.005970001220703 8.294309616088867 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750417.40625 14.627809524536133 10.431400299072266 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750446.78125 32.021541595458984 7.898719787597656 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262750940.125 10.388500213623047 9.250550270080566 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262751341.375 10.9096097946167 8.731989860534668 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262751840.3125 34.06044006347656 8.99053955078125 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262751857.6875 20.61284065246582 8.136190414428711 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262751931.03125 16.373680114746094 7.848480224609375 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262752399.9375 39.42533874511719 8.275010108947754 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262752432.921875 28.7727108001709 7.829520225524902 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262752553.1875 14.633399963378906 8.295450210571289 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262753014.710937 26.501590728759766 8.417960166931152 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262753434.9375 34.06044006347656 12.537710189819336 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262753629.3125 42.862308502197266 10.371299743652344 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262753842.84375 27.64866065979004 8.906649589538574 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262753851.703125 28.7727108001709 10.676420211791992 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754020.625 27.066059112548828 8.746350288391113 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754086.84375 27.64866065979004 11.23445987701416 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754088.03125 29.03554916381836 8.08584976196289 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754453.21875 26.32801055908203 10.779179573059082 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754454.375 27.63758087158203 8.663450241088867 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754593.875 27.63758087158203 8.86223030090332 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754652.125 16.73784065246582 8.665760040283203 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754749.96875 27.64866065979004 8.853739738464355 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754784.96875 27.64866065979004 8.270709991455078 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262754804.46875 26.32801055908203 9.123709678649902 H1:ASC-Y_TR_A_NSUM_OUT_DQ
1262755125.53125 32.021541595458984 8.463290214538574 H1:ASC-Y_TR_A_NSUM_OUT_DQ
