time peak_frequency snr channel
1262736305.582031 843.4796752929688 6.020619869232178 H1:GDS-CALIB_STRAIN
1262736421.875 29.773279190063477 6.149799823760986 H1:GDS-CALIB_STRAIN
1262736472.6875 26.908580780029297 9.21802043914795 H1:GDS-CALIB_STRAIN
1262736551.6875 25.506650924682617 6.344299793243408 H1:GDS-CALIB_STRAIN
1262736553.9375 25.96565055847168 9.206330299377441 H1:GDS-CALIB_STRAIN
1262736558.90625 24.316389083862305 7.215849876403809 H1:GDS-CALIB_STRAIN
1262736606.5625 24.177759170532227 8.397100448608398 H1:GDS-CALIB_STRAIN
1262736681.1875 24.177759170532227 6.334790229797363 H1:GDS-CALIB_STRAIN
1262736687.4375 23.330520629882812 7.687729835510254 H1:GDS-CALIB_STRAIN
1262736694.6875 23.7503604888916 7.469989776611328 H1:GDS-CALIB_STRAIN
1262736703.8125 26.908580780029297 9.297699928283691 H1:GDS-CALIB_STRAIN
1262736765.5625 25.96565055847168 6.8285698890686035 H1:GDS-CALIB_STRAIN
1262736768.21875 24.316389083862305 9.071640014648438 H1:GDS-CALIB_STRAIN
1262736824.5625 25.506650924682617 8.944549560546875 H1:GDS-CALIB_STRAIN
1262737099.375 24.416099548339844 6.297939777374268 H1:GDS-CALIB_STRAIN
1262737125.71875 24.316389083862305 6.022580146789551 H1:GDS-CALIB_STRAIN
1262737152.723144 663.9994506835938 6.000140190124512 H1:GDS-CALIB_STRAIN
1262737180.0625 28.38755989074707 8.452850341796875 H1:GDS-CALIB_STRAIN
1262737203.3125 25.05575942993164 7.880929946899414 H1:GDS-CALIB_STRAIN
1262737236.59375 11.715310096740723 6.1608500480651855 H1:GDS-CALIB_STRAIN
1262737259.375 23.73390007019043 22.058839797973633 H1:GDS-CALIB_STRAIN
1262737264.3125 27.392799377441406 8.348139762878418 H1:GDS-CALIB_STRAIN
1262737270.0625 26.432910919189453 9.079019546508789 H1:GDS-CALIB_STRAIN
1262737282.3125 28.38755989074707 7.897049903869629 H1:GDS-CALIB_STRAIN
1262737285.375 27.86825942993164 9.694869995117188 H1:GDS-CALIB_STRAIN
1262737302.412109 93.0793228149414 117.5113525390625 H1:GDS-CALIB_STRAIN
1262737371.09375 27.806610107421875 9.26869010925293 H1:GDS-CALIB_STRAIN
1262737401.1875 23.7503604888916 7.256199836730957 H1:GDS-CALIB_STRAIN
1262737457.875 27.346710205078125 12.152600288391113 H1:GDS-CALIB_STRAIN
1262737458.125 27.346710205078125 11.021419525146484 H1:GDS-CALIB_STRAIN
1262737467.3125 19.174360275268555 10.11338996887207 H1:GDS-CALIB_STRAIN
1262737474.1875 25.96565055847168 6.63109016418457 H1:GDS-CALIB_STRAIN
1262737503.827636 333.03021240234375 13.201560020446777 H1:GDS-CALIB_STRAIN
1262737504.625 12.27655029296875 6.240560054779053 H1:GDS-CALIB_STRAIN
1262737509.5625 24.612850189208984 8.692159652709961 H1:GDS-CALIB_STRAIN
1262737521.03125 24.316389083862305 7.417290210723877 H1:GDS-CALIB_STRAIN
1262737588.5625 25.05575942993164 6.820409774780273 H1:GDS-CALIB_STRAIN
1262737590.8125 29.418439865112305 7.9145097732543945 H1:GDS-CALIB_STRAIN
1262737605.1875 29.418439865112305 7.307779788970947 H1:GDS-CALIB_STRAIN
1262737659.375 26.582630157470703 7.485960006713867 H1:GDS-CALIB_STRAIN
1262737700.0625 25.05575942993164 7.466969966888428 H1:GDS-CALIB_STRAIN
1262737736.1875 25.96565055847168 7.736489772796631 H1:GDS-CALIB_STRAIN
1262737751.9375 27.392799377441406 7.194459915161133 H1:GDS-CALIB_STRAIN
1262737781.5625 25.05575942993164 7.459000110626221 H1:GDS-CALIB_STRAIN
1262737820.84375 26.003009796142578 7.39369010925293 H1:GDS-CALIB_STRAIN
1262737823.6875 29.418439865112305 7.053840160369873 H1:GDS-CALIB_STRAIN
1262737834.5625 29.418439865112305 10.996479988098145 H1:GDS-CALIB_STRAIN
1262737840.5625 28.898399353027344 11.288450241088867 H1:GDS-CALIB_STRAIN
1262737850.625 24.647829055786133 6.870450019836426 H1:GDS-CALIB_STRAIN
1262737853.6875 26.432910919189453 9.310819625854492 H1:GDS-CALIB_STRAIN
1262737882.1875 31.035369873046875 45.253238677978516 H1:GDS-CALIB_STRAIN
1262737884.505859 60.85689163208008 114.15779876708984 H1:GDS-CALIB_STRAIN
1262737898.84375 10.608750343322754 9.098799705505371 H1:GDS-CALIB_STRAIN
1262737969.0625 10.874409675598145 6.518549919128418 H1:GDS-CALIB_STRAIN
1262738041.375 31.213220596313477 37.55337905883789 H1:GDS-CALIB_STRAIN
1262738071.6875 30.48674964904785 9.182350158691406 H1:GDS-CALIB_STRAIN
1262738085.3125 31.593860626220703 6.218959808349609 H1:GDS-CALIB_STRAIN
1262738094.03125 23.51456069946289 9.911840438842773 H1:GDS-CALIB_STRAIN
1262738195.8125 33.93016052246094 9.159689903259277 H1:GDS-CALIB_STRAIN
1262738223.3125 25.05575942993164 16.024200439453125 H1:GDS-CALIB_STRAIN
1262738228.1875 33.93016052246094 41.77933120727539 H1:GDS-CALIB_STRAIN
1262738232.28125 10.996439933776855 7.799900054931641 H1:GDS-CALIB_STRAIN
1262738294.0625 41.04951858520508 23.15821075439453 H1:GDS-CALIB_STRAIN
1262746200.34375 26.889690399169922 8.461020469665527 H1:GDS-CALIB_STRAIN
1262746219.0625 24.612850189208984 6.168710231781006 H1:GDS-CALIB_STRAIN
1262746247.4375 30.48674964904785 7.048719882965088 H1:GDS-CALIB_STRAIN
