time peak_frequency snr channel
1262737628.8125 31.035369873046875 13.148819923400879 H1:GDS-CALIB_STRAIN
1262738082.0625 38.78767013549805 56.58110046386719 H1:GDS-CALIB_STRAIN
1262738111.46875 42.783958435058594 54.742488861083984 H1:GDS-CALIB_STRAIN
1262738174.65625 50.23345184326172 81.9638900756836 H1:GDS-CALIB_STRAIN
1262738189.8125 27.88574981689453 19.920780181884766 H1:GDS-CALIB_STRAIN
1262738264.9375 27.392799377441406 17.893510818481445 H1:GDS-CALIB_STRAIN
1262738289.8125 40.66358947753906 55.29764175415039 H1:GDS-CALIB_STRAIN
1262738305.9375 27.88574981689453 13.643190383911133 H1:GDS-CALIB_STRAIN
1262753649.6875 30.48674964904785 12.962109565734863 H1:GDS-CALIB_STRAIN
1262755569.4375 26.432910919189453 9.530200004577637 H1:GDS-CALIB_STRAIN
1262756697.1875 30.48674964904785 12.016079902648926 H1:GDS-CALIB_STRAIN
1262758127.4375 30.48674964904785 12.70602035522461 H1:GDS-CALIB_STRAIN
1262759947.6875 29.947830200195312 9.95598030090332 H1:GDS-CALIB_STRAIN
1262760431.1875 31.035369873046875 9.0947904586792 H1:GDS-CALIB_STRAIN
1262761633.8125 31.035369873046875 9.770190238952637 H1:GDS-CALIB_STRAIN
1262762056.96875 25.145559310913086 10.009039878845215 H1:GDS-CALIB_STRAIN
1262762259.867187 30.734230041503906 8.343170166015625 H1:GDS-CALIB_STRAIN
1262791106.375 33.66339111328125 15.626330375671387 H1:GDS-CALIB_STRAIN
1262791158.125 30.919769287109375 30.408130645751953 H1:GDS-CALIB_STRAIN
1262791181.0625 23.7503604888916 18.040210723876953 H1:GDS-CALIB_STRAIN
1262791212.125 26.83492088317871 24.240219116210938 H1:GDS-CALIB_STRAIN
1262791244.1875 26.908580780029297 26.837709426879883 H1:GDS-CALIB_STRAIN
1262791327.875 29.49336051940918 30.019630432128906 H1:GDS-CALIB_STRAIN
1262791335.9375 28.898399353027344 25.749130249023438 H1:GDS-CALIB_STRAIN
1262791425.1875 25.05575942993164 26.437009811401367 H1:GDS-CALIB_STRAIN
1262791428.3125 24.177759170532227 16.2322998046875 H1:GDS-CALIB_STRAIN
1262791439.9375 30.48674964904785 33.31544876098633 H1:GDS-CALIB_STRAIN
1262791543.1875 29.418439865112305 34.42911911010742 H1:GDS-CALIB_STRAIN
1262791585.375 28.9414005279541 46.6344108581543 H1:GDS-CALIB_STRAIN
1262791593.9375 27.392799377441406 28.39703941345215 H1:GDS-CALIB_STRAIN
1262791639.6875 30.48674964904785 49.45697021484375 H1:GDS-CALIB_STRAIN
1262791644.1875 28.898399353027344 33.130859375 H1:GDS-CALIB_STRAIN
1262791713.375 25.117910385131836 33.10002136230469 H1:GDS-CALIB_STRAIN
1262791717.3125 23.330520629882812 13.965970039367676 H1:GDS-CALIB_STRAIN
1262791736.1875 28.38755989074707 31.072580337524414 H1:GDS-CALIB_STRAIN
1262791826.6875 28.898399353027344 35.542659759521484 H1:GDS-CALIB_STRAIN
1262791832.1875 34.540740966796875 13.383549690246582 H1:GDS-CALIB_STRAIN
1262791846.8125 25.05575942993164 28.7178897857666 H1:GDS-CALIB_STRAIN
1262791914.4375 27.88574981689453 20.383230209350586 H1:GDS-CALIB_STRAIN
1262791922.4375 23.7503604888916 24.921560287475586 H1:GDS-CALIB_STRAIN
1262791962.0625 25.05575942993164 20.34585952758789 H1:GDS-CALIB_STRAIN
1262792014.8125 25.96565055847168 38.6710205078125 H1:GDS-CALIB_STRAIN
1262792110.6875 28.898399353027344 34.04291915893555 H1:GDS-CALIB_STRAIN
1262792163.9375 24.612850189208984 26.644350051879883 H1:GDS-CALIB_STRAIN
1262792235.6875 25.05575942993164 25.101139068603516 H1:GDS-CALIB_STRAIN
1262792263.4375 27.88574981689453 28.784889221191406 H1:GDS-CALIB_STRAIN
1262792270.9375 24.177759170532227 22.347679138183594 H1:GDS-CALIB_STRAIN
1262792353.6875 33.93016052246094 12.669360160827637 H1:GDS-CALIB_STRAIN
1262792444.9375 25.96565055847168 19.864459991455078 H1:GDS-CALIB_STRAIN
1262792472.0625 25.96565055847168 26.77069091796875 H1:GDS-CALIB_STRAIN
1262792555.9375 28.898399353027344 27.87656021118164 H1:GDS-CALIB_STRAIN
1262792577.6875 25.05575942993164 32.57817840576172 H1:GDS-CALIB_STRAIN
1262792742.8125 23.330520629882812 26.461170196533203 H1:GDS-CALIB_STRAIN
1262792799.125 25.839889526367188 30.29166030883789 H1:GDS-CALIB_STRAIN
1262792817.4375 28.38755989074707 28.49720001220703 H1:GDS-CALIB_STRAIN
1262793079.1875 24.177759170532227 15.769049644470215 H1:GDS-CALIB_STRAIN
1262793176.0625 25.96565055847168 26.074800491333008 H1:GDS-CALIB_STRAIN
1262793243.6875 30.48674964904785 22.188060760498047 H1:GDS-CALIB_STRAIN
1262793345.9375 26.908580780029297 46.21968078613281 H1:GDS-CALIB_STRAIN
1262793398.3125 27.392799377441406 20.068140029907227 H1:GDS-CALIB_STRAIN
1262793405.9375 30.48674964904785 30.68824005126953 H1:GDS-CALIB_STRAIN
1262793410.1875 24.612850189208984 20.541330337524414 H1:GDS-CALIB_STRAIN
1262793417.8125 25.96565055847168 26.264270782470703 H1:GDS-CALIB_STRAIN
1262793434.625 23.95915985107422 27.876279830932617 H1:GDS-CALIB_STRAIN
1262793463.5625 25.96565055847168 34.21004104614258 H1:GDS-CALIB_STRAIN
1262793535.8125 26.908580780029297 35.33066177368164 H1:GDS-CALIB_STRAIN
